date,open,high,low,close,volume
6/27/2018 0:00,5.34,5.34,5.11,5.19,5038000
6/28/2018 0:00,5.2,5.56,5.16,5.45,13617500
6/29/2018 0:00,5.4,5.75,5.38,5.68,12078000
7/2/2018 0:00,5.68,5.7,5.41,5.5,2342500
7/3/2018 0:00,5.46,5.49,5.4,5.44,2006500
7/4/2018 0:00,5.37,5.44,5.15,5.18,4305000
7/5/2018 0:00,5.11,5.95,5.11,5.67,30242500
7/6/2018 0:00,5.5,5.7,5.21,5.58,40474000
7/9/2018 0:00,5.6,5.63,5.17,5.28,11927000
7/10/2018 0:00,5.3,5.37,5.13,5.24,6935000
7/11/2018 0:00,5.25,5.38,5.22,5.3,4766000
7/12/2018 0:00,5.3,5.3,5.23,5.25,1483000
7/13/2018 0:00,5.25,5.45,5.25,5.3,5427500
7/16/2018 0:00,5.31,5.35,5.13,5.14,5664500
7/17/2018 0:00,5.12,5.23,5.04,5.16,5392000
7/18/2018 0:00,5.2,5.34,5.2,5.31,3451000
7/19/2018 0:00,5.32,5.7,5.3,5.63,22771500
7/20/2018 0:00,5.7,5.7,5.38,5.44,14101000
7/23/2018 0:00,5.49,5.49,5.25,5.3,7616500
7/24/2018 0:00,5.26,5.56,5.26,5.52,8382500
7/26/2018 0:00,5.64,5.66,5.4,5.55,18034000
7/27/2018 0:00,5.58,5.72,5.5,5.64,14687500
7/30/2018 0:00,5.65,5.75,5.5,5.55,14265000
7/31/2018 0:00,5.55,5.6,5.35,5.38,14487000
8/1/2018 0:00,5.36,5.62,5.36,5.54,7329000
8/2/2018 0:00,5.55,5.63,5.43,5.47,4658500
8/3/2018 0:00,5.5,5.6,5.45,5.52,2380500
8/6/2018 0:00,5.55,5.55,5.45,5.46,2163500
8/7/2018 0:00,5.5,5.5,5.4,5.47,4582000
8/8/2018 0:00,5.46,5.54,5.4,5.43,2894000
8/9/2018 0:00,5.43,5.54,5.42,5.47,1917500
8/10/2018 0:00,5.45,5.72,5.45,5.57,11228000
8/13/2018 0:00,5.6,5.65,5.5,5.54,4029000
8/15/2018 0:00,5.55,5.6,5.39,5.44,1995000
8/16/2018 0:00,5.42,5.48,5.25,5.31,6482500
8/17/2018 0:00,5.35,5.5,5.35,5.42,4123500
8/20/2018 0:00,5.5,5.55,5.38,5.4,2217500
8/24/2018 0:00,5.41,5.63,5.4,5.58,5137000
8/27/2018 0:00,5.58,5.71,5.53,5.55,5204000
8/28/2018 0:00,5.54,5.54,5.4,5.42,3695000
8/29/2018 0:00,5.47,5.47,5.35,5.37,2682500
8/30/2018 0:00,5.42,5.44,5.33,5.35,2854500
8/31/2018 0:00,5.39,5.39,5.29,5.31,3865500
9/3/2018 0:00,5.46,5.7,5.4,5.55,16727500
9/4/2018 0:00,5.58,5.88,5.57,5.78,23616500
9/5/2018 0:00,5.8,5.86,5.61,5.64,5956500
9/6/2018 0:00,5.65,5.69,5.44,5.46,4099500
9/7/2018 0:00,5.46,5.54,5.34,5.39,3848000
9/10/2018 0:00,5.4,5.42,5.28,5.35,3911500
9/11/2018 0:00,5.33,5.48,5.33,5.41,5125500
9/12/2018 0:00,5.4,5.54,5.25,5.27,4077000
9/13/2018 0:00,5.27,5.41,5.27,5.37,8060500
9/14/2018 0:00,5.4,5.43,5.33,5.4,2150000
9/17/2018 0:00,5.46,5.46,5.25,5.26,4851000
9/18/2018 0:00,5.3,5.39,5.23,5.37,2807500
9/19/2018 0:00,5.4,5.45,5.31,5.38,30606500
9/24/2018 0:00,5.42,5.5,5.3,5.31,6068500
9/25/2018 0:00,5.35,5.38,5.3,5.3,3088500
9/26/2018 0:00,5.35,5.42,5.27,5.33,4366500
9/27/2018 0:00,5.3,5.34,5.19,5.21,5295500
9/28/2018 0:00,5.2,5.4,5.2,5.35,9771500
10/1/2018 0:00,5.36,5.36,5.25,5.27,1350500
10/2/2018 0:00,5.31,5.45,5.31,5.32,2716500
10/3/2018 0:00,5.32,5.35,5.25,5.28,1189500
10/4/2018 0:00,5.3,5.3,5.2,5.22,2098000
10/5/2018 0:00,5.25,5.25,4.91,5,4862500
10/8/2018 0:00,5,5.06,4.72,4.77,12185000
10/9/2018 0:00,4.85,4.97,4.75,4.82,7459000
10/10/2018 0:00,4.9,4.9,4.66,4.86,6456000
10/11/2018 0:00,4.86,5.28,4.86,5.11,12008500
10/12/2018 0:00,5.23,5.4,5.17,5.21,8860500
10/15/2018 0:00,5.25,5.4,5.05,5.14,7530000
10/16/2018 0:00,5.25,5.4,5.17,5.27,5150000
10/17/2018 0:00,5.3,5.46,5.25,5.44,6015000
10/18/2018 0:00,5.4,5.4,5.25,5.33,6028500
10/19/2018 0:00,5.3,5.38,5.2,5.33,6245500
10/22/2018 0:00,5.35,5.46,5.35,5.37,4590500
10/23/2018 0:00,5.37,5.37,5.25,5.29,3072000
10/24/2018 0:00,5.5,6.05,5.46,6,68495000
10/25/2018 0:00,6.06,6.15,5.63,5.81,23404500
10/26/2018 0:00,5.8,6.04,5.7,5.99,14927500
10/29/2018 0:00,5.96,6.4,5.95,6.27,44137500
10/30/2018 0:00,6.2,6.3,6.09,6.24,18806000
10/31/2018 0:00,6.25,6.4,6.16,6.3,19989000
11/1/2018 0:00,6.25,6.31,6.14,6.22,10159500
11/2/2018 0:00,6.25,6.3,6.12,6.19,7972000
11/5/2018 0:00,6.02,6.02,5.76,5.83,11089000
11/6/2018 0:00,5.8,5.84,5.51,5.68,13713000
11/7/2018 0:00,5.8,5.85,5.7,5.75,6273000
11/8/2018 0:00,5.75,6,5.71,5.94,14686500
11/9/2018 0:00,5.91,6.15,5.84,6.08,16186000
11/12/2018 0:00,6.05,6.27,5.96,6.02,17718000
11/13/2018 0:00,6.02,6.02,5.9,5.94,1245000
11/14/2018 0:00,5.95,6.07,5.89,5.95,4048000
11/15/2018 0:00,5.88,6,5.88,5.91,3352000
11/16/2018 0:00,5.91,5.98,5.83,5.88,1432000
11/19/2018 0:00,5.95,5.98,5.82,5.88,2207000
11/20/2018 0:00,5.9,5.95,5.73,5.75,4539000
11/22/2018 0:00,5.8,5.82,5.65,5.67,1688000
11/23/2018 0:00,5.66,5.7,5.58,5.6,2441000
11/26/2018 0:00,5.65,5.67,5.55,5.56,1111000
11/27/2018 0:00,5.57,5.68,5.49,5.64,4825500
11/28/2018 0:00,5.7,5.96,5.63,5.9,12640000
11/29/2018 0:00,5.85,5.89,5.71,5.81,1890500
11/30/2018 0:00,5.8,5.84,5.55,5.64,7096000
12/3/2018 0:00,5.5,5.5,5.29,5.35,17385500
12/4/2018 0:00,5.34,5.5,5.28,5.47,10461500
12/5/2018 0:00,5.43,5.59,5.29,5.32,8080000
12/6/2018 0:00,5.35,5.44,5.14,5.18,15544000
12/7/2018 0:00,5.2,5.57,5.18,5.53,13903500
12/10/2018 0:00,5.8,6.04,5.73,5.98,34681500
12/11/2018 0:00,6.1,6.1,5.85,5.93,7787500
12/12/2018 0:00,5.8,5.9,5.73,5.78,16490000
12/13/2018 0:00,5.8,5.85,5.55,5.59,4444000
12/14/2018 0:00,5.59,5.72,5.58,5.65,2877500
12/17/2018 0:00,5.65,5.92,5.65,5.8,6879000
12/18/2018 0:00,5.8,6.05,5.72,5.97,14288000
12/19/2018 0:00,5.97,6.09,5.85,5.95,12464000
12/20/2018 0:00,5.9,6.05,5.9,5.99,8364000
12/21/2018 0:00,5.97,6.16,5.8,6.02,17354000
12/24/2018 0:00,5.95,6.1,5.86,6.03,6401500
12/26/2018 0:00,6.1,6.15,6.01,6.04,12752500
12/27/2018 0:00,6.07,6.12,5.92,5.95,4368000
12/28/2018 0:00,6,6.09,5.75,5.92,12406500
12/31/2018 0:00,5.71,5.99,5.65,5.94,18591500
1/1/2019 0:00,5.97,6.1,5.9,6.03,4908000
1/2/2019 0:00,6.03,6.09,5.84,5.9,4702500
1/3/2019 0:00,6,6,5.77,5.81,1888500
1/4/2019 0:00,5.85,6,5.76,5.82,1431500
1/7/2019 0:00,5.8,6.35,5.8,6.29,22848500
1/8/2019 0:00,6.28,6.32,6.16,6.22,10123000
1/9/2019 0:00,6.25,6.26,6.11,6.16,2304000
1/10/2019 0:00,6.2,6.31,6.15,6.21,7388000
1/11/2019 0:00,6.23,6.36,6.1,6.31,13920500
1/14/2019 0:00,6.3,6.48,6.3,6.42,10840000
1/15/2019 0:00,6.45,6.45,6.33,6.36,7788500
1/16/2019 0:00,6.34,6.42,6.26,6.29,13222500
1/17/2019 0:00,6.27,6.3,6.08,6.14,8635000
1/18/2019 0:00,6.11,6.67,6.07,6.45,55918000
1/21/2019 0:00,6.5,6.65,6.36,6.57,19089000
1/22/2019 0:00,6.56,6.67,6.5,6.63,9592500
1/23/2019 0:00,6.62,6.71,6.55,6.62,14980500
1/24/2019 0:00,6.71,6.72,6.53,6.55,6910500
1/25/2019 0:00,6.53,6.6,6.4,6.42,5922500
1/28/2019 0:00,6.48,6.5,6.4,6.43,4181000
1/29/2019 0:00,6.4,6.48,6.35,6.39,3896500
1/30/2019 0:00,6.39,6.45,6.35,6.36,2082000
1/31/2019 0:00,6.36,6.45,6.34,6.4,2626500
2/1/2019 0:00,6.44,6.49,6.4,6.47,3275500
2/4/2019 0:00,6.48,6.7,6.46,6.68,17602000
2/6/2019 0:00,6.65,6.75,6.51,6.53,5324500
2/7/2019 0:00,6.51,6.59,6.45,6.49,2306000
2/8/2019 0:00,6.53,6.7,6.34,6.38,23238500
2/11/2019 0:00,6.43,6.46,6.19,6.24,15499500
2/12/2019 0:00,6.25,6.57,6.2,6.51,12700000
2/13/2019 0:00,6.59,6.68,6.5,6.59,18092000
2/14/2019 0:00,6.6,6.61,6.46,6.51,2682500
2/15/2019 0:00,6.52,6.6,6.45,6.53,2258500
2/18/2019 0:00,6.59,6.61,6.33,6.43,6343500
2/19/2019 0:00,6.43,6.53,6.32,6.4,9679500
2/20/2019 0:00,6.32,6.43,6.31,6.34,7018500
2/21/2019 0:00,6.38,6.39,6.26,6.27,6064500
2/22/2019 0:00,6.26,6.3,6.22,6.23,2370500
2/25/2019 0:00,6.21,6.35,6.18,6.2,2484500
2/26/2019 0:00,6.1,6.22,6.03,6.04,8594000
2/27/2019 0:00,6,6,5.51,5.87,19816000
2/28/2019 0:00,5.98,6.09,5.73,6.04,9475000
3/1/2019 0:00,6.1,6.18,6.05,6.09,5504000
3/4/2019 0:00,6.05,6.16,6,6.14,2003000
